Known As,Full Name,Overall,Latest Award,Value(in Euro),Positions Played,Best Position,Nationality,Image Link,Full Image,Age,Height(in cm),Weight(in kg),Club Name,Wage(in Euro),Release Clause,Club Position,Preferred Foot,National Team Name,National Team Image Link,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate,Pace Total,Shooting Total,Passing Total,Penalties
L. Cháves,Lucas Cháves,72,,2100000,GK,GK,Argentina,https://cdn.sofifa.net/players/213/272/23_60.png,,26,178,75,Club Atlético Huracán,8000,0,GK,Right,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,Medium,75,68,67,21
S. Al Ghannam,Sultan Al Ghannam,72,,2100000,RB,RB,Saudi Arabia,https://cdn.sofifa.net/players/232/477/23_60.png,,28,174,62,Al Nassr,25000,3600000,RB,Right,-,https://cdn.sofifa.net/flags/sa.png,-,-,High,High,81,59,69,52
N. Lavanchy,Numa Lavanchy,72,,2100000,"RB,RWB,RM",RB,Switzerland,https://cdn.sofifa.net/players/199/890/23_60.png,,28,174,73,FC Sion,17000,3000000,RB,Right,-,https://cdn.sofifa.net/flags/ch.png,-,-,High,Medium,80,62,66,54
D. Holec,Dominik Holec,72,,2100000,GK,GK,Slovakia,https://cdn.sofifa.net/players/258/264/23_60.png,,27,191,89,AC Sparta Praha,600,4800000,GK,Right,-,-,-,-,Medium,Medium,72,68,76,17
J. Mellot,Jérémy Mellot,72,,2100000,RB,RB,France,https://cdn.sofifa.net/players/248/777/23_60.png,,28,178,77,CD Tenerife,8000,3400000,RB,Right,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Medium,81,42,58,35
D. Kourbelis,Dimitrios Kourbelis,72,,2100000,"CDM,CB",CDM,Greece,https://cdn.sofifa.net/players/208/260/23_60.png,,28,181,74,Panathinaikos FC,650,4600000,CM,Right,-,https://cdn.sofifa.net/flags/gr.png,-,-,Medium,High,75,52,64,57
R. Manning,Ryan Manning,71,,2100000,"LWB,CB,LB",LWB,Republic of Ireland,https://cdn.sofifa.net/players/226/012/23_60.png,,26,173,72,Swansea City,17000,4099999,LWB,Left,Republic of Ireland,-,SUB,18,Medium,Medium,67,60,67,66
Cryzan,Cryzan Queiroz Barcelos,71,,2100000,"RW,ST",RW,Brazil,https://cdn.sofifa.net/players/230/601/23_60.png,,25,190,82,Shandong Taishan,14000,3400000,ST,Right,-,https://cdn.sofifa.net/flags/br.png,-,-,High,Medium,76,69,69,70
M. Kaye,Mark-Anthony Kaye,71,,2100000,"CM,CDM",CM,Canada,https://cdn.sofifa.net/players/238/922/23_60.png,,27,186,77,Toronto FC,6000,3300000,CM,Left,Canada,https://cdn.sofifa.net/flags/ca.png,SUB,14,Medium,High,71,54,66,46
T. Kleindienst,Tim Kleindienst,71,,2100000,ST,ST,Germany,https://cdn.sofifa.net/players/214/096/23_60.png,,26,194,85,1. FC Heidenheim 1846,17000,3300000,ST,Left,-,https://cdn.sofifa.net/flags/de.png,-,-,High,High,67,72,55,68
Diego González,Diego González Polanco,71,,2100000,CB,CB,Spain,https://cdn.sofifa.net/players/227/106/23_60.png,,27,185,83,Elche CF,12000,4800000,SUB,Left,-,https://cdn.sofifa.net/flags/es.png,-,-,Low,Medium,66,34,62,42
Anuar,Anuar Mohamed Tuhami,71,,2100000,"CM,CAM,LM",RM,Morocco,https://cdn.sofifa.net/players/225/699/23_60.png,,27,174,70,Real Valladolid CF,14000,4600000,SUB,Right,-,https://cdn.sofifa.net/flags/ma.png,-,-,High,High,79,67,66,51
P. Gerkens,Pieter Gerkens,71,,2100000,"CM,CAM,CF",CM,Belgium,https://cdn.sofifa.net/players/216/334/23_60.png,,27,179,67,Royal Antwerp FC,14000,3300000,SUB,Right,-,https://cdn.sofifa.net/flags/be.png,-,-,High,High,54,69,70,67
Thiago Martins,Thiago Martins Bueno,71,,2100000,CB,CB,Brazil,https://cdn.sofifa.net/players/233/790/23_60.png,,27,184,75,New York City FC,5000,3300000,CB,Right,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,76,41,57,55
S. Gregersen,Stian Rode Gregersen,71,,2100000,"CB,RB",CB,Norway,https://cdn.sofifa.net/players/216/730/23_60.png,,27,192,83,FC Girondins de Bordeaux,6000,3900000,CB,Right,-,https://cdn.sofifa.net/flags/no.png,-,-,Medium,Medium,75,44,50,45
J. Infante,Juan Infante,71,,2100000,"LB,LWB",LB,Argentina,https://cdn.sofifa.net/players/261/016/23_60.png,,26,177,76,Platense,9000,3300000,SUB,Left,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,High,74,51,60,44
Gus Outomouro,Gustavo Rafael Outomouro Tófoli,71,,2100000,"ST,LM",CF,Brazil,https://cdn.sofifa.net/players/230/513/23_60.png,,26,175,73,Internacional,18000,4000000,SUB,Right,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,71,72,68,56
L. Merolla,Lucas Merolla,71,,2100000,CB,CB,Argentina,https://cdn.sofifa.net/players/232/521/23_60.png,,27,193,85,Club Atlético Huracán,9000,3300000,CB,Left,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,Medium,47,26,49,26
Róber,Roberto Suárez Pier,71,,2100000,"CB,CDM",CB,Spain,https://cdn.sofifa.net/players/213/063/23_60.png,,27,182,74,Levante Unión Deportiva,8000,3500000,CB,Right,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,56,48,62,50
D. Szymański,Damian Szymański,71,,2100000,"CM,CDM",CM,Poland,https://cdn.sofifa.net/players/223/779/23_60.png,,27,185,81,AEK Athens,850,4800000,CM,Right,-,https://cdn.sofifa.net/flags/pl.png,-,-,High,Medium,69,67,66,48
Nathan,Nathan Raphael Pelae Cardoso,71,,2100000,CB,CB,Brazil,https://cdn.sofifa.net/players/225/529/23_60.png,,27,189,78,San Jose Earthquakes,5000,3300000,CB,Right,-,https://cdn.sofifa.net/flags/br.png,-,-,High,High,73,44,52,47
O. McBurnie,Oli McBurnie,70,,2100000,ST,ST,Scotland,https://cdn.sofifa.net/players/220/031/23_60.png,,26,191,77,Sheffield United,17000,4099999,ST,Right,-,https://cdn.sofifa.net/flags/gb-sct.png,-,-,Medium,Medium,54,69,57,65
Bruno Wilson,Bruno Ricardo Valdez Wilson,70,,2100000,CB,CB,Portugal,https://cdn.sofifa.net/players/236/924/23_60.png,,25,191,80,FC Vizela,3000,4600000,SUB,Right,-,https://cdn.sofifa.net/flags/pt.png,-,-,Medium,High,50,30,45,45
Kirian,Kirian Rodríguez,70,,2100000,"CM,CDM,CAM",CAM,Spain,https://cdn.sofifa.net/players/251/011/23_60.png,,26,180,73,Unión Deportiva Las Palmas,6000,3500000,SUB,Right,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,63,61,69,54
M. Al-Tamari,Musa Al-Tamari,70,,2100000,"RM,RWB",CAM,Jordan,https://cdn.sofifa.net/players/259/191/23_60.png,,25,176,66,Oud-Heverlee Leuven,8000,3300000,RM,Left,-,-,-,-,High,Medium,83,61,62,62
Lee Dong Jun,Dong Jun Lee,70,,2100000,RM,LM,Korea Republic,https://cdn.sofifa.net/players/243/061/23_60.png,,25,173,64,Hertha BSC,15000,3900000,SUB,Left,-,-,-,-,High,Medium,82,62,56,57
V. Edvardsen,Victor Edvardsen,70,,2100000,"ST,LW",ST,Sweden,https://cdn.sofifa.net/players/259/921/23_60.png,,26,185,86,Djurgårdens IF,6000,2800000,ST,Right,-,https://cdn.sofifa.net/flags/se.png,-,-,Medium,Low,78,70,60,62
W. Ditta,Willer Ditta,70,,2100000,CB,CB,Colombia,https://cdn.sofifa.net/players/245/810/23_60.png,,25,180,80,Newell's Old Boys,8000,3300000,CB,Right,-,https://cdn.sofifa.net/flags/co.png,-,-,Low,Medium,59,24,48,31
J. Van Cleemput,Jules Van Cleemput,70,,2100000,"CB,RB,RWB",CB,Belgium,https://cdn.sofifa.net/players/229/648/23_60.png,,25,183,73,Royal Charleroi S.C.,8000,3300000,SUB,Right,-,https://cdn.sofifa.net/flags/be.png,-,-,Medium,High,71,31,64,42
L. Prip,Louka Prip,70,,2100000,"RW,CF,ST",CAM,Denmark,https://cdn.sofifa.net/players/247/086/23_60.png,,25,182,72,Aalborg BK,9000,2800000,SUB,Left,-,https://cdn.sofifa.net/flags/dk.png,-,-,High,Medium,78,70,66,66
F. Platte,Felix Platte,70,,2100000,ST,ST,Germany,https://cdn.sofifa.net/players/227/604/23_60.png,,26,190,86,SC Paderborn 07,13000,3500000,ST,Right,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,78,67,54,55
M. Tijani,Mohamed Tijani,70,,2100000,CB,CB,Côte d'Ivoire,https://cdn.sofifa.net/players/256/021/23_60.png,,24,188,91,FC Viktoria Plzeň,500,4800000,RES,Left,-,-,-,-,Medium,Medium,66,32,52,30
L. Mothiba,Lebo Mothiba,70,,2100000,ST,ST,South Africa,https://cdn.sofifa.net/players/237/631/23_60.png,,26,182,78,RC Strasbourg Alsace,15000,4099999,SUB,Right,-,https://cdn.sofifa.net/flags/za.png,-,-,High,Medium,66,71,60,68
D. Sinani,Danel Sinani,70,,2100000,"RM,CAM",CAM,Luxembourg,https://cdn.sofifa.net/players/258/626/23_60.png,,25,185,73,Norwich City,22000,4099999,SUB,Left,-,-,-,-,High,Medium,67,68,70,64
Kim Dae Won,Dae Won Kim,70,,2100000,"ST,LW",RM,Korea Republic,https://cdn.sofifa.net/players/233/018/23_60.png,,25,171,65,Gangwon FC,5000,2800000,LW,Right,-,-,-,-,High,Low,86,70,65,68
P. Roberts,Patrick Roberts,70,,2100000,"RW,RM,CAM",CAM,England,https://cdn.sofifa.net/players/221/982/23_60.png,,25,170,66,Sunderland,11000,4000000,SUB,Left,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Low,79,63,66,62
S. Lauper,Sandro Lauper,70,,2100000,"CB,CDM,CM",CB,Switzerland,https://cdn.sofifa.net/players/229/900/23_60.png,,25,186,73,BSC Young Boys,11000,3300000,SUB,Right,-,https://cdn.sofifa.net/flags/ch.png,-,-,Medium,Medium,73,63,65,55
O. Kemen,Olivier Kemen,70,,2100000,"CM,CAM,CDM",CAM,France,https://cdn.sofifa.net/players/220/175/23_60.png,,25,177,76,Yukatel Kayserispor,10000,4400000,SUB,Right,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Medium,76,67,65,57
N. Haas,Nicolas Haas,70,,2100000,CM,CM,Switzerland,https://cdn.sofifa.net/players/225/117/23_60.png,,26,181,74,Empoli,7000,3900000,RES,Right,-,https://cdn.sofifa.net/flags/ch.png,-,-,Medium,Medium,77,58,70,55
R. Stewart,Ross Stewart,70,,2100000,ST,ST,Scotland,https://cdn.sofifa.net/players/244/319/23_60.png,,25,193,81,Sunderland,11000,4000000,ST,Right,-,https://cdn.sofifa.net/flags/gb-sct.png,-,-,High,Medium,75,69,57,67
I. Kandouss,Ismaël Kandouss,70,,2100000,CB,CB,Morocco,https://cdn.sofifa.net/players/261/663/23_60.png,,24,192,83,Royale Union Saint-Gilloise,8000,3300000,CB,Right,-,https://cdn.sofifa.net/flags/ma.png,-,-,Medium,Medium,58,29,47,32
M. Bokadi,Merveille Bokadi,70,,2100000,"CB,CDM",CB,Congo DR,https://cdn.sofifa.net/players/237/554/23_60.png,,26,186,85,Standard de Liège,9000,3300000,CB,Right,-,-,-,-,Medium,Medium,60,33,53,35
C. De Norre,Casper De Norre,70,,2100000,"LM,LB,CM",RWB,Belgium,https://cdn.sofifa.net/players/231/423/23_60.png,,25,175,75,Oud-Heverlee Leuven,8000,3300000,CM,Right,-,https://cdn.sofifa.net/flags/be.png,-,-,Medium,High,69,63,66,51
D. Mantilla,Daniel Mantilla,70,,2100000,"RM,LM,RW",CAM,Colombia,https://cdn.sofifa.net/players/242/174/23_60.png,,25,172,70,Atlético Nacional,3000,3100000,LW,Right,-,https://cdn.sofifa.net/flags/co.png,-,-,High,Medium,77,65,66,64
T. Handwerker,Tim Handwerker,70,,2100000,LB,LWB,Germany,https://cdn.sofifa.net/players/239/571/23_60.png,,24,182,74,1. FC Nürnberg,6000,3500000,SUB,Left,-,https://cdn.sofifa.net/flags/de.png,-,-,High,Medium,81,50,60,36
J. Léa Siliki,James Léa Siliki,70,,2100000,CM,CM,Cameroon,https://cdn.sofifa.net/players/236/998/23_60.png,,26,183,73,Estoril Praia,5000,4600000,CM,Left,-,-,-,-,High,Medium,67,62,70,64
A. Murgia,Alessandro Murgia,70,,2100000,"CM,CDM",CM,Italy,https://cdn.sofifa.net/players/231/919/23_60.png,,25,185,78,SPAL,3000,3400000,CM,Right,-,https://cdn.sofifa.net/flags/it.png,-,-,Medium,High,41,64,67,53
L. Vido,Luca Vido,70,,2100000,ST,ST,Italy,https://cdn.sofifa.net/players/237/544/23_60.png,,25,182,75,Palermo,24000,0,SUB,Right,-,https://cdn.sofifa.net/flags/it.png,-,-,Medium,Medium,67,69,62,72
A. Besedin,Artem Besedin,70,,2100000,ST,ST,Ukraine,https://cdn.sofifa.net/players/244/368/23_60.png,,26,190,84,Dynamo Kyiv,650,4800000,ST,Right,-,https://cdn.sofifa.net/flags/ua.png,-,-,High,High,71,66,50,57
João Nunes,João Aniceto Grandela Nunes,70,,2100000,"CB,RB",CB,Portugal,https://cdn.sofifa.net/players/231/392/23_60.png,,26,186,78,Casa Pia,4000,4500000,CB,Right,-,https://cdn.sofifa.net/flags/pt.png,-,-,Medium,High,71,41,58,53
A. Cabeza,Alejandro Cabeza,70,,2100000,ST,ST,Ecuador,https://cdn.sofifa.net/players/253/349/23_60.png,,25,185,79,CS Emelec,600,4700000,ST,Right,-,https://cdn.sofifa.net/flags/ec.png,-,-,Medium,Medium,75,69,58,70
Ivanildo Fernandes,Ivanildo Jorge Mendes Fernandes,70,,2100000,CB,CB,Portugal,https://cdn.sofifa.net/players/244/963/23_60.png,,26,193,83,FC Vizela,4000,4600000,CB,Left,-,https://cdn.sofifa.net/flags/pt.png,-,-,Medium,Medium,59,28,47,39
M. Jeahze,Mohanad Jeahze,70,,2100000,LB,LWB,Iraq,https://cdn.sofifa.net/players/235/166/23_60.png,,25,179,65,Hammarby IF,4000,2800000,LB,Left,-,-,-,-,High,Medium,81,53,65,42
O. Shukurov,Otabek Shukurov,70,,2100000,"CM,CDM,CAM",CM,Uzbekistan,https://cdn.sofifa.net/players/271/294/23_60.png,,26,183,77,Fatih Karagümrük S.K.,14000,4400000,CDM,Right,-,-,-,-,Medium,High,66,65,69,67
T. Sakamoto,Tatsuhiro Sakamoto,70,,2100000,"RM,CF,LM",CAM,Japan,https://cdn.sofifa.net/players/254/910/23_60.png,,25,170,63,KV Oostende,7000,3200000,SUB,Right,-,https://cdn.sofifa.net/flags/jp.png,-,-,High,Medium,75,66,67,52
S. Bastien,Samuel Bastien,70,,2100000,CM,RM,Congo DR,https://cdn.sofifa.net/players/223/926/23_60.png,,25,175,75,Burnley,22000,4099999,SUB,Right,-,-,-,-,High,Medium,74,67,69,67
Brugui,Roger Brugué Ayguade,70,,2100000,"RM,LM",CAM,Spain,https://cdn.sofifa.net/players/241/591/23_60.png,,25,174,68,Levante Unión Deportiva,7000,3500000,SUB,Left,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium,88,62,63,69
E. Otieno,Erick Otieno,70,,2100000,"LB,RB",LWB,Kenya,https://cdn.sofifa.net/players/254/899/23_60.png,,25,168,70,AIK,5000,2800000,LB,Left,-,-,-,-,High,Medium,89,46,63,32
M. Hartel,Marcel Hartel,70,,2100000,CM,CAM,Germany,https://cdn.sofifa.net/players/233/125/23_60.png,,26,177,68,FC St. Pauli,11000,3500000,LM,Right,-,https://cdn.sofifa.net/flags/de.png,-,-,High,High,71,64,69,48
G. Sibilli,Giuseppe Sibilli,70,,2100000,"CF,LW",CF,Italy,https://cdn.sofifa.net/players/258/475/23_60.png,,25,180,76,Pisa,3000,3500000,LW,Right,-,https://cdn.sofifa.net/flags/it.png,-,-,Medium,Medium,76,65,65,59
K. Gutiérrez,Kevin Gutiérrez,70,,2100000,"CDM,CM",CAM,Argentina,https://cdn.sofifa.net/players/241/833/23_60.png,,25,168,65,Defensa y Justicia,9000,0,CDM,Right,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,Medium,76,59,66,53
Q. Boisgard,Quentin Boisgard,70,,2100000,"CM,LW,LM",CM,France,https://cdn.sofifa.net/players/231/848/23_60.png,,25,174,75,FC Lorient,10000,4400000,SUB,Right,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium,56,63,72,70
Y. Keitel,Yannik Keitel,69,,2100000,"CDM,CM",CDM,Germany,https://cdn.sofifa.net/players/256/118/23_60.png,,22,186,85,Sport-Club Freiburg,10000,4000000,SUB,Right,-,https://cdn.sofifa.net/flags/de.png,-,-,Low,Medium,64,48,63,48
P. Sabbag,Pablo Sabbag,69,,2100000,ST,ST,Colombia,https://cdn.sofifa.net/players/233/078/23_60.png,,25,188,84,La Equidad,1000,3000000,ST,Left,-,https://cdn.sofifa.net/flags/co.png,-,-,Medium,Low,61,72,50,64
M. Madsen,Mads Emil Madsen,69,,2100000,"CM,CDM",CM,Denmark,https://cdn.sofifa.net/players/235/636/23_60.png,,24,186,82,Aarhus GF,7000,2800000,CM,Left,-,https://cdn.sofifa.net/flags/dk.png,-,-,Medium,Medium,58,58,67,49
C. Holse,Carlo Holse,69,,2100000,"RW,CM",LM,Denmark,https://cdn.sofifa.net/players/240/040/23_60.png,,23,177,68,Rosenborg BK,4000,2800000,CM,Left,-,https://cdn.sofifa.net/flags/dk.png,-,-,High,Medium,80,63,66,56
E. Valeri,Emanuele Valeri,69,,2100000,LB,LWB,Italy,https://cdn.sofifa.net/players/258/714/23_60.png,,23,180,78,US Cremonese,5000,4200000,LM,Left,-,https://cdn.sofifa.net/flags/it.png,-,-,High,Medium,71,61,65,56
J. Sargent,Josh Sargent,69,,2100000,"RM,ST",ST,United States,https://cdn.sofifa.net/players/242/075/23_60.png,,22,185,79,Norwich City,17000,4099999,RM,Right,-,https://cdn.sofifa.net/flags/us.png,-,-,High,High,73,70,61,59
M. de Wit,Mees de Wit,69,,2100000,"LB,LW",LM,Netherlands,https://cdn.sofifa.net/players/263/099/23_60.png,,24,181,76,AZ Alkmaar,4000,3600000,SUB,Left,-,https://cdn.sofifa.net/flags/nl.png,-,-,High,Medium,77,49,65,49
L. Lamprou,Lazaros Lamprou,69,,2100000,"LM,RM",ST,Greece,https://cdn.sofifa.net/players/237/039/23_60.png,,24,180,76,Excelsior,4000,3200000,SUB,Right,-,https://cdn.sofifa.net/flags/gr.png,-,-,Medium,Medium,84,67,59,62
L. Itter,Luca Itter,69,,2100000,"LB,CB",LB,Germany,https://cdn.sofifa.net/players/237/024/23_60.png,,23,183,76,SpVgg Greuther Fürth,5000,3800000,SUB,Left,-,https://cdn.sofifa.net/flags/de.png,-,-,High,Medium,71,42,62,41
N. Dyhr,Nikolas Dyhr,69,,2100000,"LWB,LB",LWB,Denmark,https://cdn.sofifa.net/players/251/595/23_60.png,,21,177,66,FC Midtjylland,8000,3200000,SUB,Left,-,https://cdn.sofifa.net/flags/dk.png,-,-,High,High,81,55,62,52
K. Jóźwiak,Kamil Jóźwiak,69,,2100000,"RM,LM",RM,Poland,https://cdn.sofifa.net/players/233/222/23_60.png,,24,176,70,Charlotte FC,4000,3200000,RM,Right,-,https://cdn.sofifa.net/flags/pl.png,-,-,Medium,Low,90,55,60,52
F. Beijmo,Felix Beijmo,69,,2100000,RB,RB,Sweden,https://cdn.sofifa.net/players/238/222/23_60.png,,24,186,82,Malmö FF,3000,3200000,RB,Right,-,https://cdn.sofifa.net/flags/se.png,-,-,Medium,Medium,83,39,55,38
M. López,Marcos López,69,,2100000,LB,LWB,Peru,https://cdn.sofifa.net/players/246/014/23_60.png,,22,175,67,Feyenoord,4000,3600000,SUB,Left,-,https://cdn.sofifa.net/flags/pe.png,-,-,High,High,79,54,63,51
H. Pickering,Harry Pickering,69,,2100000,"LWB,LB",LWB,England,https://cdn.sofifa.net/players/235/770/23_60.png,,23,183,78,Blackburn Rovers,15000,4400000,LB,Left,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Medium,74,51,64,47
F. Druijf,Ferdy Druijf,69,,2100000,"ST,CAM",ST,Netherlands,https://cdn.sofifa.net/players/242/202/23_60.png,,24,190,83,SK Rapid Wien,13000,3200000,SUB,Right,-,https://cdn.sofifa.net/flags/nl.png,-,-,Medium,Medium,58,72,61,73
K. Fischer,Kilian Fischer,69,,2100000,"RB,CM",RB,Germany,https://cdn.sofifa.net/players/256/281/23_60.png,,21,182,77,VfL Wolfsburg,12000,4000000,SUB,Right,-,https://cdn.sofifa.net/flags/de.png,-,-,High,Medium,77,38,61,37
Á. Preciado,Ángelo Preciado,69,,2100000,"RB,RWB,RM",RWB,Ecuador,https://cdn.sofifa.net/players/246/055/23_60.png,,24,173,74,KRC Genk,6000,3600000,SUB,Right,-,https://cdn.sofifa.net/flags/ec.png,-,-,Medium,Medium,84,59,59,58
B. Kutlu,Berkan Kutlu,69,,2100000,"CM,CDM",CDM,Turkey,https://cdn.sofifa.net/players/259/675/23_60.png,,24,186,75,Galatasaray SK,23000,4099999,SUB,Left,-,https://cdn.sofifa.net/flags/tr.png,-,-,High,High,75,61,60,52
S. Córdova,Sergio Córdova,69,,2100000,ST,ST,Venezuela,https://cdn.sofifa.net/players/239/747/23_60.png,,24,188,87,Real Salt Lake,12000,0,ST,Right,-,https://cdn.sofifa.net/flags/ve.png,-,-,Medium,Medium,75,68,54,62
T. Kehinde,Tosin Kehinde,69,,2100000,"RM,LM",RM,Nigeria,https://cdn.sofifa.net/players/237/700/23_60.png,,24,178,75,Randers FC,6000,2800000,RM,Right,-,-,-,-,High,Medium,86,58,62,54
M. Roerslev,Mads Roerslev,69,,2100000,"RWB,RB,CB",RWB,Denmark,https://cdn.sofifa.net/players/238/157/23_60.png,,23,184,67,Brentford,16000,4400000,RES,Right,-,https://cdn.sofifa.net/flags/dk.png,-,-,Medium,Medium,69,45,65,35
D. McNamara,Danny McNamara,69,,2100000,"RWB,RB",RWB,Republic of Ireland,https://cdn.sofifa.net/players/239/443/23_60.png,,23,174,72,Millwall,6000,4400000,RWB,Right,-,-,-,-,High,High,78,41,59,41
S. Vines,Sam Vines,69,,2100000,"LB,LWB",LB,United States,https://cdn.sofifa.net/players/242/769/23_60.png,,23,177,72,Royal Antwerp FC,8000,3600000,LB,Left,-,https://cdn.sofifa.net/flags/us.png,-,-,High,High,77,33,57,36
R. Frosler,Reeve Frosler,69,,2100000,"RB,LB",RB,South Africa,https://cdn.sofifa.net/players/241/233/23_60.png,,24,173,69,Kaizer Chiefs,500,4900000,SUB,Right,-,https://cdn.sofifa.net/flags/za.png,-,-,Medium,Medium,72,40,61,40
Álex Domínguez,Álex Domínguez Romero,68,,2100000,GK,GK,Spain,https://cdn.sofifa.net/players/243/201/23_60.png,,23,186,82,Unión Deportiva Las Palmas,3000,3800000,SUB,Right,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,67,66,67,13
G. Mitoglou,Gerasimos Mitoglou,67,,2100000,CB,CB,Greece,https://cdn.sofifa.net/players/262/822/23_60.png,,22,195,88,AEK Athens,500,5000000,SUB,Right,-,https://cdn.sofifa.net/flags/gr.png,-,-,Low,Medium,60,31,51,37
Torrente,Raúl Torrente Navarro,67,,2100000,"CB,CDM",CB,Spain,https://cdn.sofifa.net/players/264/103/23_60.png,,20,193,79,Granada CF,3000,3800000,RES,Left,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,53,31,51,39
A. Tanghe,Anton Tanghe,67,,2100000,CB,CB,Belgium,https://cdn.sofifa.net/players/255/400/23_60.png,,23,187,70,KV Oostende,4000,3500000,CB,Right,-,https://cdn.sofifa.net/flags/be.png,-,-,Low,High,60,26,51,38
K. Watts,Kelland Watts,67,,2100000,CB,CB,England,https://cdn.sofifa.net/players/244/277/23_60.png,,22,192,75,Peterborough United,19000,0,SUB,Left,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium,59,47,54,59
A. Čerin,Adam Gnezda Čerin,67,,2100000,CM,CAM,Slovenia,https://cdn.sofifa.net/players/247/861/23_60.png,,22,180,77,Panathinaikos FC,500,5000000,CM,Right,-,-,-,-,Medium,Medium,64,56,66,49
B. Racovițan,Bogdan Racovițan,67,,2100000,CB,CB,Romania,https://cdn.sofifa.net/players/261/040/23_60.png,,22,185,80,Raków Częstochowa,4000,3300000,CB,Right,-,https://cdn.sofifa.net/flags/ro.png,-,-,Medium,Medium,75,32,38,33
L. Tchaouna,Loum Tchaouna,67,,2100000,"RW,LW",LM,France,https://cdn.sofifa.net/players/264/880/23_60.png,,18,180,67,Dijon FCO,6000,0,SUB,Left,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium,76,60,63,59
Martín Calderón,Martín Manuel Calderón Gómez,67,,2100000,"CDM,CM",CDM,Spain,https://cdn.sofifa.net/players/258/359/23_60.png,,23,183,75,RC Celta de Vigo,8000,0,SUB,Right,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,67,61,67,54
J. Asoro,Joel Asoro,67,,2100000,"ST,RW",RM,Sweden,https://cdn.sofifa.net/players/235/855/23_60.png,,23,175,75,Djurgårdens IF,3000,3000000,RW,Right,-,https://cdn.sofifa.net/flags/se.png,-,-,Medium,Medium,88,65,59,60
M. McGuinness,Mark McGuinness,67,,2100000,CB,CB,Republic of Ireland,https://cdn.sofifa.net/players/248/405/23_60.png,,21,194,70,Sheffield Wednesday,8000,0,CB,Right,-,-,-,-,Medium,High,54,35,47,41
I. Aaneba,Ismaël Aaneba,67,,2100000,CB,CB,France,https://cdn.sofifa.net/players/240/725/23_60.png,,23,182,75,FC Sochaux-Montbéliard,2000,4099999,CB,Right,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium,71,45,58,40
T. Baldé,Thierno Baldé,67,,2100000,"RB,RWB",RB,France,https://cdn.sofifa.net/players/263/250/23_60.png,,20,182,68,ESTAC Troyes,4000,4600000,RWB,Right,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Medium,82,46,58,40
J. Latibeaudiere,Joel Latibeaudiere,67,,2100000,"CB,LWB,LB",CB,Jamaica,https://cdn.sofifa.net/players/233/047/23_60.png,,22,180,81,Swansea City,8000,4400000,SUB,Right,-,-,-,-,Medium,Medium,72,37,51,34
M. Ross,Mathias Ross,67,,2100000,CB,CB,Denmark,https://cdn.sofifa.net/players/245/849/23_60.png,,21,191,80,Galatasaray SK,12000,4400000,SUB,Right,-,https://cdn.sofifa.net/flags/dk.png,-,-,Medium,High,66,32,51,36
T. Dele-Bashiru,Tom Dele-Bashiru,67,,2100000,"RM,CM,LM",CAM,Nigeria,https://cdn.sofifa.net/players/233/048/23_60.png,,22,178,68,Watford,12000,4400000,SUB,Right,-,-,-,-,Low,Medium,78,65,62,55
J. Alcívar,Jordy Alcívar,67,,2100000,"CM,RM,LM",CM,Ecuador,https://cdn.sofifa.net/players/254/039/23_60.png,,22,168,63,Charlotte FC,3000,3500000,SUB,Right,-,https://cdn.sofifa.net/flags/ec.png,-,-,Medium,Medium,66,64,67,71
M. Laborda,Mathías Laborda,67,,2100000,"CB,RB",CB,Uruguay,https://cdn.sofifa.net/players/253/296/23_60.png,,22,182,72,Club Nacional de Football,500,5000000,CB,Right,-,https://cdn.sofifa.net/flags/uy.png,-,-,Medium,Medium,70,41,51,45
N. Păun,Nicolae Păun,67,,2100000,"CDM,CM",CDM,Romania,https://cdn.sofifa.net/players/262/261/23_60.png,,23,181,75,Sepsi OSK Sf. Gheorghe,4000,3300000,CM,Right,-,https://cdn.sofifa.net/flags/ro.png,-,-,Medium,Medium,63,46,60,28
